Date,Open,High,Low,Close,Adj Close,Volume
2022-12-06,103183.265625,104771.429688,102913.484375,104749.250000,104749.250000,419210937360
2022-12-07,104740.953125,104835.195313,100961.851563,101372.601563,101372.601563,473140452563
2022-12-08,101373.789063,105830.601563,101010.859375,105409.429688,105409.429688,512375768739
2022-12-09,105406.218750,106223.789063,103946.429688,104227.757813,104227.757813,470418368436
2022-12-10,104235.242188,105484.476563,104049.351563,104402.164063,104402.164063,270613074820
2022-12-11,104404.945313,105671.679688,103913.890625,104178.062500,104178.062500,277123159138
2022-12-12,104153.734375,105419.117188,102721.843750,105340.968750,105340.968750,425713747564
2022-12-13,105344.562500,110576.257813,104072.828125,108815.968750,108815.968750,726199644264
2022-12-14,108827.453125,111023.046875,107882.273438,108014.054688,108014.054688,646017280596
2022-12-15,108002.687500,108164.156250,104623.968750,104927.609375,104927.609375,499870961357
2022-12-16,104936.445313,105846.156250,96091.359375,96594.367188,96594.367188,768764440380
2022-12-17,96578.445313,98314.226563,96358.656250,98240.187500,98240.187500,419804748703
2022-12-18,98238.445313,98741.656250,97250.984375,97996.234375,97996.234375,277110004946
2022-12-19,97999.796875,98694.945313,95837.531250,96423.968750,96423.968750,408256425311
2022-12-20,96446.500000,101078.312500,96257.937500,100627.554688,100627.554688,552425357639
2022-12-21,100617.867188,100667.937500,99792.507813,100581.765625,100581.765625,349515246747
2022-12-22,100587.789063,101367.117188,98523.585938,100957.023438,100957.023438,439028733224
2022-12-23,100948.500000,101651.968750,100775.992188,100790.476563,100790.476563,399460752697
2022-12-24,100787.046875,101183.031250,100474.875000,100872.187500,100872.187500,216931690095
2022-12-25,100874.078125,101067.890625,99432.468750,100781.070313,100781.070313,325975346531
2022-12-26,100777.617188,101720.046875,100415.562500,101720.046875,101720.046875,272096328763
2022-12-27,101721.109375,102005.773438,99941.742188,100388.296875,100388.296875,338674656453
2022-12-28,100383.742188,100418.875000,98238.390625,98593.320313,98593.320313,413572308078
2022-12-29,98595.320313,99737.117188,98459.257813,99534.937500,99534.937500,342296313297
2022-12-30,99532.812500,99570.359375,98178.335938,99236.492188,99236.492188,335606499234
2022-12-31,99247.031250,99744.703125,98820.421875,99056.273438,99056.273438,249841141170
2023-01-01,99051.515625,99611.179688,98734.648438,99378.781250,99378.781250,198570947705
2023-01-02,99390.234375,100737.546875,98897.640625,100459.578125,100459.578125,311451379640
2023-01-03,100466.796875,100920.367188,99966.039063,100558.609375,100558.609375,280868054703
2023-01-04,100553.625000,104585.031250,100444.921875,103872.726563,103872.726563,529431074920
2023-01-05,103869.250000,104042.156250,102825.835938,103343.054688,103343.054688,330729438462
2023-01-06,103344.750000,104691.304688,102690.687500,104436.382813,104436.382813,409496505287
2023-01-07,104439.734375,104536.757813,103851.648438,104016.132813,104016.132813,211049481615
2023-01-08,104008.859375,105916.000000,103683.453125,105916.000000,105916.000000,287554367843
2023-01-09,105923.515625,110213.859375,105860.156250,108604.531250,108604.531250,656657035253
2023-01-10,108592.734375,109629.070313,108437.640625,109115.750000,109115.750000,475961649262
2023-01-11,109107.640625,113299.796875,108029.125000,113299.796875,113299.796875,515498597053
2023-01-12,114721.726563,116158.351563,112248.359375,115016.992188,115016.992188,992059947833
2023-01-13,115017.617188,118811.703125,114061.570313,117994.656250,117994.656250,624606763537
2023-01-14,117979.515625,127109.328125,117943.742188,126048.664063,126048.664063,1255411019907
2023-01-15,126050.671875,126556.203125,123625.320313,126192.953125,126192.953125,550673042340
2023-01-16,126196.187500,130167.710938,124890.437500,128752.953125,128752.953125,690332830719
2023-01-17,128775.320313,130066.484375,126862.492188,127819.812500,127819.812500,619551857631
2023-01-18,127807.820313,130040.062500,122868.000000,123417.203125,123417.203125,843262603470
2023-01-19,123396.242188,126551.601563,123325.429688,126129.773438,126129.773438,522587895842
2023-01-20,126114.914063,134411.328125,125480.523438,134400.671875,134400.671875,690637913790
2023-01-21,134396.781250,135568.765625,131733.218750,131757.937500,131757.937500,717388867943
2023-01-22,131778.000000,134260.515625,130540.656250,131856.687500,131856.687500,608761995646
2023-01-23,131870.359375,132852.578125,130920.273438,132683.312500,132683.312500,673460185273
2023-01-24,132650.500000,133619.062500,126596.742188,127022.250000,127022.250000,667528002341
2023-01-25,127038.835938,133032.437500,124917.773438,131359.203125,131359.203125,863847581763
2023-01-26,131307.843750,132638.484375,129306.507813,130565.695313,130565.695313,683760278053
2023-01-27,130563.585938,131799.312500,127549.460938,130273.000000,130273.000000,662262098262
2023-01-28,130270.468750,130806.726563,127603.632813,128177.906250,128177.906250,473087995430
2023-01-29,128193.757813,134804.296875,127896.656250,134183.718750,134183.718750,717423162944
2023-01-30,134183.078125,134224.156250,126154.937500,127862.648438,127862.648438,748939428300
2023-01-31,127870.273438,130648.273438,127575.312500,129728.859375,129728.859375,538462199363
2023-02-01,129724.992188,134394.562500,128416.296875,134151.796875,134151.796875,663242090014
2023-02-02,134116.921875,139918.203125,134113.390625,134821.625000,134821.625000,866249808060
2023-02-03,134793.984375,137468.531250,134209.546875,137327.531250,137327.531250,673916759905
2023-02-04,137304.984375,139417.421875,135961.843750,137516.796875,137516.796875,482017822337
2023-02-05,137525.640625,137905.421875,133337.218750,134374.781250,134374.781250,570450593310
2023-02-06,134374.734375,136921.765625,133345.437500,133753.265625,133753.265625,572657111877
2023-02-07,133733.609375,138493.109375,133638.718750,138345.500000,138345.500000,664444009949
2023-02-08,138337.359375,139736.609375,135220.140625,136447.843750,136447.843750,645249452107
